rowid,pl_name,hostname,pl_letter,hd_name,hip_name,tic_id,gaia_dr2_id,gaia_dr3_id,default_flag,sy_snum,sy_pnum,sy_mnum,cb_flag,discoverymethod,disc_year,disc_refname,disc_pubdate,disc_locale,disc_facility,disc_telescope,disc_instrument,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_msinie,pl_msinij,pl_cmasse,pl_cmassj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,pl_tsystemref,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_occdep,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,sy_refname,rastr,ra,decstr,dec,glat,glon,elat,elon,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_plx,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_umag,sy_gmag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gaiamag,sy_icmag,sy_tmag,sy_kepmag,rowupdate,pl_pubdate,releasedate,pl_nnotes,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec,pl_ndispec,habitability_score,stellar_compatibility
182,AU Mic b,AU Mic,b,HD 197481,HIP 102409,TIC 441420236,Gaia DR2 6794047652729201024,Gaia DR3 6794047652729201024,0,1,4,0,0,Transit,2020,<a refstr=PLAVCHAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Natur.582..497P/abstract target=ref>Plavchan et al. 2020</a>,2020-06,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Published Confirmed,0.0,<a refstr=MARTIOLI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A.177M/abstract target=ref>Martioli et al. 2021</a>,8.463,0.0645,4.07,0.3631017,17.0,0.05348798,,,,,17.0,0.05348798,Mass,1.4,0.0,,593.0,89.5,2458330.39051,BJD,1.0,0.18,,3.5,19.1,0.0496,,,,8.5,,,<a refstr=MARTIOLI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A.177M/abstract target=ref>Martioli et al. 2021</a>,,3700.0,0.75,0.5,,,,,0.022,,,4.863,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,-36.80401,12.65304,-12.82465,305.30682,456.8630854,281.424,-359.895,9.7221,102.829,10.209,8.81,5.436,4.831,4.529,,,,,,,,,,7.84038,,6.755,,2021-08-09,2021-05,2021-08-09,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.24897893422483583,0.00048123195380173246
191,AU Mic c,AU Mic,c,HD 197481,HIP 102409,TIC 441420236,Gaia DR2 6794047652729201024,Gaia DR3 6794047652729201024,0,1,4,0,0,Transit,2021,<a refstr=MARTIOLI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A.177M/abstract target=ref>Martioli et al. 2021</a>,2021-05,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Published Confirmed,0.0,<a refstr=MARTIOLI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A.177M/abstract target=ref>Martioli et al. 2021</a>,18.859019,0.1101,3.24,0.28905394,13.6,0.04279039,,,,,13.6,0.04279039,Mass,2.3,0.0,,454.0,89.0,2458342.2223,BJD,0.0,0.51,,4.5,29.0,0.0395,,,,5.2,,,<a refstr=MARTIOLI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A.177M/abstract target=ref>Martioli et al. 2021</a>,,3700.0,0.75,0.5,,,,,0.022,,,4.863,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,-36.80401,12.65304,-12.82465,305.30682,456.8630854,281.424,-359.895,9.7221,102.829,10.209,8.81,5.436,4.831,4.529,,,,,,,,,,7.84038,,6.755,,2021-08-10,2021-05,2021-08-10,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.31466607169418415,0.00048123195380173246
208,BD+20 594 b,BD+20 594,b,,,TIC 26123781,Gaia DR2 58200934326315136,Gaia DR3 58200934326315136,0,1,1,0,0,Transit,2016,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...43E/abstract target=ref>Espinoza et al. 2016</a>,2016-10,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Published Confirmed,0.0,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...43E/abstract target=ref>Espinoza et al. 2016</a>,41.6855,0.241,2.23,0.19894727,16.3,0.05128528,,,,,16.3,0.05128528,Mass,7.89,0.0,,546.0,89.55,2457151.9021,BJD-TDB,0.0,,,,55.8,0.02204,,,,3.1,,,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...43E/abstract target=ref>Espinoza et al. 2016</a>,G,5766.0,0.928,0.961,-0.15,[Fe/H],-0.05552,4.5,3.34,1.7,3.3,,-20.33638,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,-28.05348,166.7966,1.31208,56.28872,63.0539428,36.5714,-51.3647,179.461,5.54366,11.765,10.849,9.770001,9.432,9.368,,,,,,9.31,9.344,9.332,8.976,10.8644,,10.4021,11.04,2018-04-25,2016-10,2016-07-28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4523064622657907,0.08333333333333333
333,CoRoT-22 b,CoRoT-22,b,,,TIC 323094535,Gaia DR2 4285572454508522496,Gaia DR3 4285572454508522496,1,1,1,0,0,Transit,2014,<a refstr=MOUTOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.444.2783M/abstract target=ref>Moutou et al. 2014</a>,2014-08,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Published Confirmed,0.0,<a refstr=MOUTOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.444.2783M/abstract target=ref>Moutou et al. 2014</a>,9.75598,0.092,4.88,0.435,12.2,0.038,,,,,12.2,0.038,Mass,0.249,0.077,,885.0,89.749,2454598.42014,BJD,0.0,0.012,,4.492,17.3,0.03927,,,210.0,3.7,,,<a refstr=MOUTOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.444.2783M/abstract target=ref>Moutou et al. 2014</a>,G3 V,5939.0,1.136,1.099,0.17,[Fe/H],,4.361,3.3,1.027,4.0,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h42m40.11s,280.6671392,+06d13m09.00s,6.2191669,4.775,37.48307,29.20889,282.16656,2.3150628,2.02362,1.12449,627.158,1.56624,14.74,13.82,12.414,12.099,11.988,,,,,,11.889,11.95,11.564,8.87,13.7305,,13.2006,,2014-08-21,2014-08,2014-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20659307466293214,0.006211180124223602
338,CoRoT-24 c,CoRoT-24,c,,,TIC 36105482,Gaia DR2 3105404467618982272,Gaia DR3 3105404467618982272,1,1,2,0,0,Transit,2014,<a refstr=ALONSO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...567A.112A/abstract target=ref> Alonso et al. 2014</a>,2014-07,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Published Confirmed,0.0,<a refstr=ALONSO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...567A.112A/abstract target=ref> Alonso et al. 2014</a>,11.759,0.098,5.0,0.44,28.0,0.088,,,,,28.0,0.088,Mass,1.3,0.0,,850.0,89.0,2454795.3803,HJD,0.0,0.3,,4.8,18.0,0.05,,,,8.3,,,<a refstr=ALONSO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...567A.112A/abstract target=ref> Alonso et al. 2014</a>,K1 V,4950.0,0.86,0.91,0.3,[Fe/H],,4.55,11.0,,2.0,,51.37,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h47m41.41s,101.922543,-03d43m09.44s,-3.7192892,-2.52763,215.81744,-26.6085,103.32705,3.0425443,-1.29402,2.75365,591.555,1.66329,16.593,15.383,13.595,13.046,12.924,,,,,,12.898,13.001,12.418,9.039,15.1801,,14.5115,,2014-06-11,2014-07,2014-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.201779359430605,0.0012077294685990338
357,CoRoT-32 b,CoRoT-32,b,,,TIC 220323515,Gaia DR2 3326541506073371776,Gaia DR3 3326541506073371776,1,1,1,0,0,Transit,2018,<a refstr=BOUFLEUR_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.473..710B/abstract target=ref>Boufleur et al. 2018</a>,2018-01,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Published Confirmed,0.0,<a refstr=BOUFLEUR_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.473..710B/abstract target=ref>Boufleur et al. 2018</a>,6.71837,0.071,6.38913,0.57,47.6745,0.15,,,,,47.6745,0.15,Mass,1.1,,132.26,938.0,89.0,2455901.811,BJD,0.0,0.4,0.29,2.496,,0.054,,,,14.0,,,<a refstr=BOUFLEUR_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.473..710B/abstract target=ref>Boufleur et al. 2018</a>,G0 VI,5970.0,0.79,1.08,0.0,[Fe/H],-0.1549,4.67,,,3.2,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h40m46.84s,100.1951714,+09d15m26.62s,9.2573953,1.86373,203.48237,-13.81584,100.36014,4.6600247,0.981128,-4.55557,576.683,1.70589,14.403,13.626,12.519,12.25,12.193,15.5005,14.1084,13.6711,16.6984,13.4498,12.133,12.162,11.378,7.854,13.5867,,13.1395,,2017-09-14,2018-01,2017-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15805429389748382,0.005208333333333333
389,CoRoT-8 b,CoRoT-8,b,,,TIC 391880567,Gaia DR2 4287832775526476800,Gaia DR3 4287832775526476800,0,1,1,0,0,Transit,2010,<a refstr=BORDE_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..66B/abstract target=ref> Borde et al. 2010 </a>,2010-09,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Published Confirmed,0.0,<a refstr=RAETZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.483..824R/abstract target=ref>Raetz et al. 2019</a>,6.212445,0.0636,6.938371,0.619,69.28694,0.218,,,,,69.28694,0.218,Mass,1.1,,,870.0,88.18,2454239.03317,BJD-TDB,0.0,0.54,,,13.7,0.0849,,,,,,,<a refstr=RAETZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.483..824R/abstract target=ref>Raetz et al. 2019</a>,,,0.802,0.89,,,-0.4,4.58,1.7,2.44,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h26m21.26s,291.5885696,+01d25m34.67s,1.4262972,-7.10426,38.21286,23.11609,293.57027,35.483344,13.5768,-32.7832,322.037,3.07662,16.005,14.792,12.154,11.641,11.463,,,,,,11.401,11.465,11.567,8.22,14.2195,,13.4202,,2019-10-04,2019-02,2019-10-10,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.14584426224201003,
390,CoRoT-8 b,CoRoT-8,b,,,TIC 391880567,Gaia DR2 4287832775526476800,Gaia DR3 4287832775526476800,0,1,1,0,0,Transit,2010,<a refstr=BORDE_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..66B/abstract target=ref> Borde et al. 2010 </a>,2010-09,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Published Confirmed,0.0,<a refstr=SOUTHWORTH_2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.417.2166S/abstract target=ref>Southworth 2011</a>,6.21229,0.0633,7.980808,0.712,68.65128,0.216,,,,,68.65128,0.216,Mass,0.74,,,922.0,87.44,2454239.03311,HJD,0.0,,,,15.175,,,,,26.0,,,<a refstr=SOUTHWORTH_2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.417.2166S/abstract target=ref>Southworth 2011</a>,,5080.0,0.898,0.878,0.31,[Fe/H],,4.475,,1.7,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h26m21.26s,291.5885696,+01d25m34.67s,1.4262972,-7.10426,38.21286,23.11609,293.57027,35.483344,13.5768,-32.7832,322.037,3.07662,16.005,14.792,12.154,11.641,11.463,,,,,,11.401,11.465,11.567,8.22,14.2195,,13.4202,,2016-01-12,2011-11,2016-01-14,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.1268778831963622,0.0014326647564469914
463,EPIC 211945201 b,EPIC 211945201,b,,,TIC 243244680,Gaia DR2 636363799347569408,Gaia DR3 636363799347569408,0,1,1,0,0,Transit,2018,<a refstr=CHAKRABORTY_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156....3C/abstract target=ref>Chakraborty et al. 2018</a>,2018-07,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Published Confirmed,0.0,<a refstr=HOWARD_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJS..278...52H/abstract target=ref>Howard et al. 2025</a>,19.491,,5.5,0.49067798,11.0,0.03460987,,,,,11.0,0.03460987,Mass,0.33,,101.0,809.0,,2457158.82659,BJD,0.0,,,,,,,,,,,,<a refstr=HOWARD_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJS..278...52H/abstract target=ref>Howard et al. 2025</a>,,6019.0,1.387,1.17,0.14,[Fe/H],,4.18,,,0.1,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h06m17.81s,136.5741931,+19d24m07.40s,19.4020565,38.12775,208.78206,2.68664,133.29271,61.7731533,45.4915,-41.7905,181.69,5.47529,10.938,10.154,9.144,8.908,8.837,,,,,,8.822,8.844,8.81,8.623,10.0512,,9.66896,10.115,2025-09-17,2025-06,2025-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18373756761472693,0.004149377593360996
465,EPIC 211945201 b,EPIC 211945201,b,,,TIC 243244680,Gaia DR2 636363799347569408,Gaia DR3 636363799347569408,0,1,1,0,0,Transit,2018,<a refstr=CHAKRABORTY_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156....3C/abstract target=ref>Chakraborty et al. 2018</a>,2018-07,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Published Confirmed,0.0,<a refstr=CHAKRABORTY_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156....3C/abstract target=ref>Chakraborty et al. 2018</a>,19.49213,0.148,6.12,0.54598983,27.0,0.08495107,,,,,27.0,0.08495107,Mass,0.65,0.0,,886.35,87.9,2458113.93994,BJD-TDB,0.0,0.85,,3.91,23.1,0.0407,,2458113.93994,90.0,5.7,,,<a refstr=CHAKRABORTY_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156....3C/abstract target=ref>Chakraborty et al. 2018</a>,G0,6025.0,1.38,1.18,0.1,[Fe/H],,4.25,3.99,0.63,4.0,,1.2588,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h06m17.81s,136.5741931,+19d24m07.40s,19.4020565,38.12775,208.78206,2.68664,133.29271,61.7731533,45.4915,-41.7905,181.69,5.47529,10.938,10.154,9.144,8.908,8.837,,,,,,8.822,8.844,8.81,8.623,10.0512,,9.66896,10.115,2018-10-24,2018-07,2018-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16506995544938122,0.004048582995951417
517,EPIC 220674823 c,EPIC 220674823,c,,,TIC 266015990,Gaia DR2 2582617711154563968,Gaia DR3 2582617711154563968,1,1,2,0,0,Transit,2016,<a refstr=ADAMS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...82A/abstract target=ref>Adams et al. 2017</a>,2017-02,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Published Confirmed,0.0,<a refstr=GUENTHER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.529..141G/abstract target=ref>Guenther et al. 2024</a>,13.33989,0.1073,2.84,0.25336827,7.32,0.0230313,,,,,7.32,0.0230313,Mass,1.72,0.17,70.0,804.0,88.62,2457405.732,BJD-TDB,0.0,0.53,0.0693,3.661,23.32,0.02659,,,,2.14,,,<a refstr=GUENTHER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.529..141G/abstract target=ref>Guenther et al. 2024</a>,,5578.0,0.99,0.913,-0.005,[Fe/H],,4.408,,,,,-14.79,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h52m19.21s,13.0800239,+10d47m40.94s,10.7947051,-52.07644,123.28442,4.78443,16.22269,61.004017,60.9629,2.2394,244.59,4.06029,12.576,12.101,10.77,10.454,10.344,14.7932,12.6287,12.0262,11.8122,12.9569,10.299,10.355,10.38,8.423,11.9535,,11.4574,11.958,2025-02-24,2024-03,2025-02-24,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3540506605524621,0.005
518,EPIC 220674823 c,EPIC 220674823,c,,,TIC 266015990,Gaia DR2 2582617711154563968,Gaia DR3 2582617711154563968,0,1,2,0,0,Transit,2016,<a refstr=ADAMS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...82A/abstract target=ref>Adams et al. 2017</a>,2017-02,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Published Confirmed,0.0,<a refstr=SINUKOFF_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..271S/abstract target=ref>Sinukoff et al. 2017</a>,13.3387,0.1071,2.77,0.24712285,5.7,0.01793412,,,,,5.7,0.01793412,Mass,1.3,,64.0,722.0,89.0,,,0.0,0.47,,3.5,27.1739,0.0265,,,,1.6,,,<a refstr=SINUKOFF_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..271S/abstract target=ref>Sinukoff et al. 2017</a>,,5496.0,0.95,0.92,0.06,[Fe/H],,4.42,,,2.0,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h52m19.21s,13.0800239,+10d47m40.94s,10.7947051,-52.07644,123.28442,4.78443,16.22269,61.004017,60.9629,2.2394,244.59,4.06029,12.576,12.101,10.77,10.454,10.344,14.7932,12.6287,12.0262,11.8122,12.9569,10.299,10.355,10.38,8.423,11.9535,,11.4574,11.958,2018-10-24,2017-06,2017-12-14,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36331497779034755,0.0035460992907801418
520,EPIC 220674823 c,EPIC 220674823,c,,,TIC 266015990,Gaia DR2 2582617711154563968,Gaia DR3 2582617711154563968,0,1,2,0,0,Transit,2016,<a refstr=ADAMS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...82A/abstract target=ref>Adams et al. 2017</a>,2017-02,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Published Confirmed,0.0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,13.3397,0.1083,2.836,0.25301141,8.9,0.02800253,,,,,8.9,0.02800253,Mass,2.12,0.13,70.0,805.0,89.35,2457405.7316,BJD-TDB,0.0,,,,,,,,,2.48,,,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5532.0,0.988,0.95,0.11,[Fe/H],,,7.5,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h52m19.21s,13.0800239,+10d47m40.94s,10.7947051,-52.07644,123.28442,4.78443,16.22269,61.004017,60.9629,2.2394,244.59,4.06029,12.576,12.101,10.77,10.454,10.344,14.7932,12.6287,12.0262,11.8122,12.9569,10.299,10.355,10.38,8.423,11.9535,,11.4574,11.958,2023-04-17,2023-04,2023-04-17,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35454354486254375,0.0040650406504065045
521,EPIC 220674823 c,EPIC 220674823,c,,,TIC 266015990,Gaia DR2 2582617711154563968,Gaia DR3 2582617711154563968,0,1,2,0,0,Transit,2016,<a refstr=ADAMS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...82A/abstract target=ref>Adams et al. 2017</a>,2017-02,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Published Confirmed,0.0,<a refstr=GUENTHER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...608A..93G/abstract target=ref>Guenther et al. 2017</a>,13.3397,0.105,2.5,0.22303506,5.8,0.01824875,,,,,5.8,0.01824875,Mass,2.0,0.18,,774.0,89.35,2457405.73156,BJD-TDB,0.0,0.31,,3.66,26.2,0.02632,,,178.0,1.67,,,<a refstr=GUENTHER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...608A..93G/abstract target=ref>Guenther et al. 2017</a>,G5 V,5470.0,0.869,0.945,-0.025,[Fe/H],,4.53,,,2.8,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h52m19.21s,13.0800239,+10d47m40.94s,10.7947051,-52.07644,123.28442,4.78443,16.22269,61.004017,60.9629,2.2394,244.59,4.06029,12.576,12.101,10.77,10.454,10.344,14.7932,12.6287,12.0262,11.8122,12.9569,10.299,10.355,10.38,8.423,11.9535,,11.4574,11.958,2018-10-24,2017-12,2018-06-21,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4020576131687243,0.003246753246753247
524,EPIC 220674823 c,EPIC 220674823,c,,,TIC 266015990,Gaia DR2 2582617711154563968,Gaia DR3 2582617711154563968,0,1,2,0,0,Transit,2016,<a refstr=ADAMS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...82A/abstract target=ref>Adams et al. 2017</a>,2017-02,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Published Confirmed,0.0,<a refstr=HOWARD_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJS..278...52H/abstract target=ref>Howard et al. 2025</a>,13.33918,,3.01,0.26853468,5.0,0.01573176,,,,,5.0,0.01573176,Mass,1.1,,71.0,740.0,,2457405.733,BJD,0.0,,,,,,,,,,,,<a refstr=HOWARD_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJS..278...52H/abstract target=ref>Howard et al. 2025</a>,,5496.0,0.995,0.91,0.06,[Fe/H],,4.42,,,1.7,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h52m19.21s,13.0800239,+10d47m40.94s,10.7947051,-52.07644,123.28442,4.78443,16.22269,61.004017,60.9629,2.2394,244.59,4.06029,12.576,12.101,10.77,10.454,10.344,14.7932,12.6287,12.0262,11.8122,12.9569,10.299,10.355,10.38,8.423,11.9535,,11.4574,11.958,2025-09-17,2025-06,2025-09-17,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33443830300179345,0.0035460992907801418
527,EPIC 229004835 b,EPIC 229004835,b,,,TIC 94924543,Gaia DR2 3694798014985230336,Gaia DR3 3694798019281730944,1,1,1,0,0,Transit,2023,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,2023-04,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Published Confirmed,0.0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,16.141132,0.1237,2.332,0.20804746,10.4,0.03272206,,,,,10.4,0.03272206,Mass,4.49,0.23,69.7,804.0,88.08,2457920.44584,BJD-TDB,0.0,,,,,,,,,2.76,,,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5868.0,0.999,0.97,-0.12,[Fe/H],,,4.9,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h25m56.65s,186.4860415,-01d24m17.00s,-1.4047214,60.81426,289.77763,1.28515,186.50682,133.5434698,-129.128,-34.0561,121.971,8.17036,10.755,10.23,9.061,8.805,8.725,,,,,,8.653,8.704001,8.664,8.231,10.0494,,9.63123,10.151,2023-05-03,2023-04,2023-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4307544510484397,0.011111111111111112
